"CO_ANO","TIPO","VL_FOB"
"1989","EXP",34382619710
"1989","IMP",18263432738
"1990","EXP",31413756040
"1990","IMP",20661362039
"1991","EXP",31620439443
"1991","IMP",21040470792
"1992","EXP",35792985844
"1992","IMP",20554091051
"1993","EXP",38554749047
"1993","IMP",25256000927
"1994","EXP",43545168862
"1994","IMP",33078690132
"1995","EXP",46506282414
"1995","IMP",49971896207
"1996","EXP",47746728158
"1996","IMP",53345767156
"1997","EXP",52982725829
"1997","IMP",59747227088
"1998","EXP",51139861545
"1998","IMP",57763475974
"1999","EXP",48012789947
"1999","IMP",49301557692
"2000","EXP",55118919865
"2000","IMP",55850663138
"2001","EXP",58286593021
"2001","IMP",55601758416
"2002","EXP",60438653035
"2002","IMP",47242654199
"2003","EXP",73203222075
"2003","IMP",48325566630
"2004","EXP",96677498766
"2004","IMP",62835615629
"2005","EXP",118529184899
"2005","IMP",73600375672
"2006","EXP",137807469531
"2006","IMP",91350840805
"2007","EXP",160649072830
"2007","IMP",120617446250
"2008","EXP",197942442909
"2008","IMP",172984767614
"2009","EXP",152994742805
"2009","IMP",127722342988
"2010","EXP",201915285335
"2010","IMP",181768427438
"2011","EXP",256039574768
"2011","IMP",226246755801
"2012","EXP",242578013546
"2012","IMP",223183476643
"2013","EXP",242033574720
"2013","IMP",239747515987
"2014","EXP",225100884831
"2014","IMP",229154462583
"2015","EXP",191134324584
"2015","IMP",171449050909
"2016","EXP",185235400805
"2016","IMP",137552002856
